uid,tag,key,time,did,value,metric,last_modify
47675629,weekly_statistics,fitness_report,1760284800,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":30890},""step_goal_achieve"":2,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":3401},""cal_goal_achieve"":3,""rank_percent_summary"":{""1"":0.37,""2"":0.65},""all_fitness_goal_achieved_count"":0,""allFitnessGoalAchivevedDay"":null,""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1760284800"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":4412},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":485},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":9},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":14}}},""sleep_report"":{""avg_sleep_score"":58,""max_sleep_score"":66,""avg_sleep_duration"":370,""avg_deep_sleep_duration"":86,""avg_deep_sleep_rate"":21,""sleep_stage"":1,""sleep_evaluation"":3,""week_lastest_bed_time"":1760770080,""week_lastest_bed_time_zone"":-4,""week_earliest_wake_up_time"":1760870760,""week_earliest_wake_up_zone"":-4},""hlth_status"":{""avg_rhr"":60,""max_hr"":140},""version"":1}",0,1760959676
47675629,weekly_statistics,update_hlthcenter_records,1759680000,default_did,,0,1760328016
47675629,weekly_statistics,start_calculate,1759680000,default_did,,0,1760328018
47675629,weekly_statistics,fitness_report,1759680000,default_did,"{""sports_value"":{""running"":{""field_type"":""int_value"",""field_unit"":""metre"",""int_value"":9691}},""sports_duration"":{""field_type"":""int_value"",""field_unit"":""sec"",""int_value"":5290},""sports_hr_max"":171,""sport_times"":2,""sport_times_diff"":0,""sport_days"":2,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":39198},""step_goal_achieve"":2,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":4854},""cal_goal_achieve"":5,""rank_percent_summary"":{""1"":0.58,""2"":0.86},""all_fitness_goal_achieved_count"":2,""allFitnessGoalAchivevedDay"":{""1759708800"":true,""1760140800"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1759680000"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":5599},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":693},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":10},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":30}}},""sleep_report"":{""avg_sleep_score"":66,""max_sleep_score"":76,""avg_sleep_duration"":449,""avg_deep_sleep_duration"":104,""avg_deep_sleep_rate"":23,""sleep_stage"":2,""sleep_evaluation"":2,""week_lastest_bed_time"":1760163900,""week_lastest_bed_time_zone"":-4,""week_earliest_wake_up_time"":1760093160,""week_earliest_wake_up_zone"":-4},""hlth_status"":{""avg_rhr"":59,""max_hr"":168},""version"":1}",0,1760328018
47675629,weekly_statistics,update_hlthcenter_records,1759075200,default_did,,0,1759724163
47675629,weekly_statistics,start_calculate,1759075200,default_did,,0,1759724163
47675629,weekly_statistics,fitness_report,1759075200,default_did,"{""sports_value"":{""running"":{""field_type"":""int_value"",""field_unit"":""metre"",""int_value"":6041}},""sports_duration"":{""field_type"":""int_value"",""field_unit"":""sec"",""int_value"":2726},""sports_hr_max"":174,""sport_times"":1,""sport_times_diff"":0,""sport_days"":1,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":41484},""step_goal_achieve"":5,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":4173},""cal_goal_achieve"":6,""rank_percent_summary"":{""1"":0.59,""2"":0.76},""all_fitness_goal_achieved_count"":2,""allFitnessGoalAchivevedDay"":{""1759104000"":true,""1759363200"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1759075200"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":5926},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":596},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":8},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":25}}},""sleep_report"":{""avg_sleep_score"":63,""max_sleep_score"":77,""avg_sleep_duration"":518,""avg_deep_sleep_duration"":113,""avg_deep_sleep_rate"":22,""sleep_stage"":2,""sleep_evaluation"":3,""week_lastest_bed_time"":1759556460,""week_lastest_bed_time_zone"":-4,""week_earliest_wake_up_time"":1759317600,""week_earliest_wake_up_zone"":-4},""hlth_status"":{""avg_rhr"":60,""max_hr"":171},""version"":1}",0,1759724163
47675629,weekly_statistics,update_hlthcenter_records,1758470400,default_did,,0,1759157134
47675629,weekly_statistics,start_calculate,1758470400,default_did,,0,1759157134
47675629,weekly_statistics,fitness_report,1758470400,default_did,"{""sports_value"":{""running"":{""field_type"":""int_value"",""field_unit"":""metre"",""int_value"":3835}},""sports_duration"":{""field_type"":""int_value"",""field_unit"":""sec"",""int_value"":2212},""sports_hr_max"":172,""sport_times"":1,""sport_times_diff"":0,""sport_days"":1,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":37083},""step_goal_achieve"":3,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":3325},""cal_goal_achieve"":2,""rank_percent_summary"":{""1"":0.46,""2"":0.65},""all_fitness_goal_achieved_count"":1,""allFitnessGoalAchivevedDay"":{""1758844800"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1758470400"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":6180},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":554},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":10},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":22}}},""sleep_report"":{""avg_sleep_score"":69,""max_sleep_score"":74,""avg_sleep_duration"":482,""avg_deep_sleep_duration"":112,""avg_deep_sleep_rate"":23,""sleep_stage"":2,""sleep_evaluation"":2,""week_lastest_bed_time"":1759035300,""week_lastest_bed_time_zone"":-4,""week_earliest_wake_up_time"":1758538380,""week_earliest_wake_up_zone"":-4},""hlth_status"":{""avg_rhr"":64,""max_hr"":169},""version"":1}",0,1759157134
