Uid,Sid,Key,Time,Category,Value,UpdateTime
47675629,786882759,outdoor_running,1757768610,running,"{""hrm_fat_burning_duration"":44,""train_load"":147,""avg_hrm"":161,""distance"":5313,""vitality"":14,""designated_course"":0,""target_value"":{},""did"":""786882759"",""duration"":2300,""hrm_warm_up_duration"":0,""hrm_extreme_duration"":1287,""vo2_max"":35,""min_hrm"":115,""version"":4,""sport_type"":1,""hrm_aerobic_duration"":257,""cloud_course_source"":0,""anaerobic_train_effect"":1.2,""max_hrm"":176,""hrm_anaerobic_duration"":696,""anaerobic_train_effect_level"":2,""train_effect"":5,""min_pace"":1000,""calories"":338,""start_time"":1757768610,""recover_time"":96,""train_load_level"":4,""max_cadence"":174,""total_cal"":388,""max_speed"":13.752,""time"":1757768610,""timezone"":-16,""proto_type"":22,""vo2_max_level"":3,""end_time"":1757770911,""max_pace"":263,""steps"":5653,""aerobic_train_effect_level"":6}",1757770926
47675629,786882759,outdoor_walking,1757770991,walking,"{""train_effect"":1,""duration"":291,""timezone"":-16,""version"":4,""max_pace"":526,""sport_type"":2,""target_value"":{},""calories"":21,""proto_type"":22,""total_cal"":27,""time"":1757770991,""hrm_anaerobic_duration"":0,""max_hrm"":131,""train_load_level"":1,""distance"":397,""did"":""786882759"",""designated_course"":0,""end_time"":1757771283,""hrm_aerobic_duration"":14,""min_hrm"":102,""start_time"":1757770991,""cloud_course_source"":0,""vitality"":1,""train_load"":2,""min_pace"":1428,""recover_time"":96,""max_cadence"":144,""avg_hrm"":114,""hrm_fat_burning_duration"":195,""hrm_warm_up_duration"":67,""steps"":521,""aerobic_train_effect_level"":2,""hrm_extreme_duration"":0,""max_speed"":7.02}",1757772005
47675629,786882759,outdoor_running,1757863693,running,"{""hrm_anaerobic_duration"":2173,""max_pace"":81,""avg_hrm"":146,""train_effect"":5,""proto_type"":22,""designated_course"":0,""hrm_extreme_duration"":248,""min_hrm"":101,""version"":4,""did"":""786882759"",""train_load_level"":4,""hrm_fat_burning_duration"":776,""aerobic_train_effect_level"":6,""steps"":8333,""vitality"":13,""recover_time"":96,""end_time"":1757867728,""total_cal"":580,""hrm_warm_up_duration"":38,""anaerobic_train_effect_level"":1,""target_value"":{},""max_speed"":44.172,""vo2_max_level"":2,""hrm_aerobic_duration"":785,""start_time"":1757863693,""anaerobic_train_effect"":0.6,""max_cadence"":168,""time"":1757863693,""train_load"":146,""timezone"":-16,""sport_type"":1,""duration"":4036,""min_pace"":1000,""max_hrm"":171,""calories"":493,""vo2_max"":32,""distance"":7019,""cloud_course_source"":0}",1757867983
47675629,786882759,outdoor_running,1758469980,running,"{""hrm_fat_burning_duration"":858,""sport_type"":1,""target_value"":{},""time"":1758469980,""start_time"":1758469980,""steps"":4588,""distance"":3592,""min_pace"":1000,""hrm_anaerobic_duration"":718,""min_hrm"":84,""timezone"":-16,""anaerobic_train_effect_level"":1,""train_load_level"":2,""vitality"":19,""max_hrm"":165,""vo2_max"":31,""proto_type"":22,""end_time"":1758472825,""designated_course"":0,""max_speed"":9.288,""calories"":284,""cloud_course_source"":0,""did"":""786882759"",""total_cal"":345,""avg_hrm"":132,""aerobic_train_effect_level"":3,""train_load"":60,""version"":4,""max_pace"":400,""duration"":2845,""max_cadence"":168,""hrm_extreme_duration"":1,""anaerobic_train_effect"":0.4,""hrm_warm_up_duration"":255,""recover_time"":40,""vo2_max_level"":2,""train_effect"":2.7,""hrm_aerobic_duration"":930}",1759157134
47675629,786882759,outdoor_running,1758890689,running,"{""hrm_fat_burning_duration"":274,""sport_type"":1,""target_value"":{},""time"":1758890689,""start_time"":1758890689,""distance"":3835,""min_pace"":1000,""steps"":4898,""hrm_anaerobic_duration"":1125,""min_hrm"":110,""timezone"":-16,""anaerobic_train_effect_level"":1,""train_load_level"":3,""vitality"":16,""max_hrm"":172,""vo2_max"":30,""proto_type"":22,""end_time"":1758892902,""designated_course"":0,""calories"":284,""max_speed"":7.884,""cloud_course_source"":0,""did"":""786882759"",""total_cal"":331,""avg_hrm"":149,""aerobic_train_effect_level"":4,""train_load"":91,""version"":4,""max_pace"":476,""max_cadence"":168,""duration"":2212,""hrm_extreme_duration"":357,""anaerobic_train_effect"":0.7,""hrm_warm_up_duration"":0,""recover_time"":54,""vo2_max_level"":2,""train_effect"":3.5,""hrm_aerobic_duration"":442}",1759157134
47675629,786882759,outdoor_running,1759151572,running,"{""hrm_fat_burning_duration"":102,""sport_type"":1,""target_value"":{},""time"":1759151572,""start_time"":1759151572,""distance"":6041,""min_pace"":1000,""steps"":6461,""hrm_anaerobic_duration"":1785,""min_hrm"":93,""timezone"":-16,""anaerobic_train_effect_level"":1,""train_load_level"":3,""vitality"":19,""max_hrm"":174,""vo2_max"":29,""proto_type"":22,""end_time"":1759154272,""designated_course"":0,""calories"":359,""max_speed"":21.996,""cloud_course_source"":0,""did"":""786882759"",""total_cal"":418,""avg_hrm"":152,""aerobic_train_effect_level"":5,""train_load"":138,""version"":4,""max_pace"":163,""max_cadence"":168,""duration"":2726,""hrm_extreme_duration"":551,""anaerobic_train_effect"":0.8,""hrm_warm_up_duration"":197,""recover_time"":71,""vo2_max_level"":2,""train_effect"":4.4,""hrm_aerobic_duration"":79}",1759157134
47675629,786882759,outdoor_running,1759757270,running,"{""steps"":7496,""hrm_aerobic_duration"":1687,""designated_course"":0,""timezone"":-16,""hrm_fat_burning_duration"":301,""train_effect"":3.3,""train_load"":90,""calories"":360,""train_load_level"":3,""time"":1759757270,""cloud_course_source"":0,""sport_type"":1,""end_time"":1759760574,""vitality"":25,""recover_time"":51,""max_hrm"":171,""min_pace"":1000,""start_time"":1759757270,""did"":""786882759"",""target_value"":{},""total_cal"":431,""hrm_warm_up_duration"":377,""hrm_extreme_duration"":142,""vo2_max_level"":3,""max_cadence"":168,""avg_hrm"":137,""hrm_anaerobic_duration"":781,""aerobic_train_effect_level"":4,""anaerobic_train_effect_level"":1,""anaerobic_train_effect"":0.5,""duration"":3303,""version"":4,""distance"":6001,""min_hrm"":92,""max_pace"":303,""max_speed"":12.168,""vo2_max"":32,""proto_type"":22}",1759761872
47675629,786882759,indoor_running,1760206453,running,"{""hrm_warm_up_duration"":3,""steps"":4413,""train_load_level"":3,""vitality"":15,""hrm_fat_burning_duration"":112,""total_cal"":358,""version"":9,""min_pace"":1428,""max_hrm"":165,""hrm_aerobic_duration"":482,""proto_type"":3,""duration"":1987,""end_time"":1760208442,""time"":1760206453,""valid_duration"":1987,""target_value"":{},""timezone"":-16,""cloud_course_source"":0,""recover_time"":56,""did"":""786882759"",""calories"":315,""corrected_distance"":3690,""anaerobic_train_effect_level"":1,""min_hrm"":107,""hrm_anaerobic_duration"":1363,""avg_hrm"":149,""train_effect"":3.2,""hrm_extreme_duration"":10,""train_load"":80,""max_pace"":384,""sport_type"":3,""start_time"":1760206453,""max_cadence"":174,""aerobic_train_effect_level"":4,""distance"":3690,""anaerobic_train_effect"":0.6}",1760209029
47675629,786882759,outdoor_running,1760966509,running,"{""proto_type"":22,""vo2_max"":33,""min_hrm"":91,""anaerobic_train_effect_level"":2,""max_hrm"":173,""vitality"":29,""hrm_aerobic_duration"":351,""start_time"":1760966509,""hrm_fat_burning_duration"":362,""distance"":5091,""recover_time"":69,""max_cadence"":168,""max_speed"":9,""did"":""786882759"",""train_load_level"":3,""timezone"":-16,""max_pace"":400,""aerobic_train_effect_level"":5,""train_load"":125,""total_cal"":413,""duration"":2680,""calories"":356,""avg_hrm"":152,""sport_type"":1,""min_pace"":1000,""steps"":6502,""target_value"":{},""cloud_course_source"":0,""vo2_max_level"":3,""end_time"":1760969190,""time"":1760966509,""hrm_warm_up_duration"":27,""hrm_extreme_duration"":888,""anaerobic_train_effect"":1,""version"":4,""train_effect"":4.4,""hrm_anaerobic_duration"":1035,""designated_course"":0}",1760973793
47675629,786882759,outdoor_running,1761499040,running,"{""version"":4,""min_hrm"":117,""time"":1761499040,""aerobic_train_effect_level"":3,""distance"":1658,""recover_time"":31,""end_time"":1761499921,""sport_type"":1,""max_pace"":312,""anaerobic_train_effect_level"":1,""steps"":2080,""total_cal"":133,""calories"":114,""hrm_anaerobic_duration"":329,""proto_type"":22,""hrm_warm_up_duration"":0,""hrm_fat_burning_duration"":76,""train_load"":37,""vo2_max_level"":2,""duration"":880,""max_cadence"":162,""avg_hrm"":152,""anaerobic_train_effect"":0.9,""hrm_extreme_duration"":234,""timezone"":-16,""train_load_level"":2,""min_pace"":1000,""vitality"":6,""target_value"":{},""did"":""786882759"",""train_effect"":2.1,""max_speed"":11.592,""hrm_aerobic_duration"":225,""start_time"":1761499040,""vo2_max"":29,""max_hrm"":172,""designated_course"":0,""cloud_course_source"":0}",1761501618
47675629,786882759,outdoor_running,1762265567,running,"{""start_time"":1762265567,""vitality"":38,""vo2_max"":24,""time"":1762265567,""max_hrm"":175,""calories"":471,""min_hrm"":106,""min_pace"":1000,""steps"":9023,""recover_time"":96,""version"":4,""hrm_extreme_duration"":297,""hrm_fat_burning_duration"":134,""designated_course"":0,""aerobic_train_effect_level"":6,""anaerobic_train_effect_level"":1,""vo2_max_level"":1,""proto_type"":22,""train_load"":165,""train_load_level"":4,""cloud_course_source"":0,""hrm_aerobic_duration"":338,""target_value"":{},""max_speed"":10.332,""hrm_anaerobic_duration"":2713,""did"":""786882759"",""distance"":6621,""max_cadence"":168,""sport_type"":1,""max_pace"":357,""timezone"":-20,""train_effect"":5,""duration"":3503,""avg_hrm"":153,""end_time"":1762269071,""total_cal"":546,""anaerobic_train_effect"":0.6,""hrm_warm_up_duration"":4}",1762272011
47675629,786882759,outdoor_walking,1762546298,walking,"{""train_load_level"":1,""version"":4,""timezone"":-20,""start_time"":1762546298,""max_pace"":65,""target_value"":{},""min_hrm"":75,""end_time"":1762551588,""duration"":5290,""max_hrm"":148,""steps"":5830,""recover_time"":49,""sport_type"":2,""total_cal"":384,""time"":1762546298,""hrm_anaerobic_duration"":3,""max_cadence"":132,""avg_hrm"":99,""designated_course"":0,""cloud_course_source"":0,""max_speed"":55.188,""aerobic_train_effect_level"":2,""min_pace"":1428,""hrm_warm_up_duration"":2891,""hrm_fat_burning_duration"":1085,""did"":""786882759"",""hrm_extreme_duration"":0,""train_load"":26,""calories"":270,""distance"":8052,""vitality"":3,""proto_type"":22,""train_effect"":1.8,""hrm_aerobic_duration"":48}",1762552404
47675629,786882759,outdoor_walking,1762622070,walking,"{""total_cal"":429,""hrm_extreme_duration"":0,""cloud_course_source"":0,""max_pace"":4,""vitality"":6,""distance"":4527,""end_time"":1762627497,""train_effect"":2,""target_value"":{},""timezone"":-20,""hrm_fat_burning_duration"":709,""version"":4,""steps"":6023,""sport_type"":2,""time"":1762622070,""hrm_warm_up_duration"":2846,""duration"":5425,""proto_type"":22,""recover_time"":61,""hrm_aerobic_duration"":410,""max_speed"":779.22,""calories"":312,""train_load_level"":2,""start_time"":1762622070,""min_hrm"":71,""max_cadence"":174,""avg_hrm"":103,""did"":""786882759"",""min_pace"":1428,""designated_course"":0,""max_hrm"":164,""aerobic_train_effect_level"":3,""train_load"":32,""hrm_anaerobic_duration"":242}",1762630968
